regId;address;factoryId;model
0000362052038626;197374, Санкт-Петербург г, дор.Торфяная, д.7, лит.В;009110076;СПАРК-115-Ф
0000362199047277;197374, Санкт-Петербург г, дор.Торфяная, д.7, лит.В;009110077;СПАРК-115-Ф
0000361247050254;193168, Санкт-Петербург г, пр-кт.Большевиков, д.18, к.2, лит.А;009110078;СПАРК-115-Ф
0000362312040580;193168, Санкт-Петербург г, пр-кт.Большевиков, д.18, к.2, лит.А;009110079;СПАРК-115-Ф
0000361442036105;193168, Санкт-Петербург г, пр-кт.Большевиков, д.18, к.2, лит.А;009110080;СПАРК-115-Ф
0000361480026571;193168, Санкт-Петербург г, пр-кт.Большевиков, д.18, к.2, лит.А;009110081;СПАРК-115-Ф
0000388127003286;191123, Санкт-Петербург г, пр-кт.Чернышевского, д.17, лит.А;009110083;СПАРК-115-Ф
0000388226018579;191123, Санкт-Петербург г, пр-кт.Чернышевского, д.17, лит.А;009110085;СПАРК-115-Ф
0000389448006674;180005, г.Псков, ш.Ленинградское, д.26, лит.Б;009010822;СПАРК-115-Ф
0000390108013830;180005, г.Псков, ш.Ленинградское, д.26, лит.Б;009010823;СПАРК-115-Ф
0000389700044345;180005, г.Псков, ш.Ленинградское, д.26, лит.Б;009010824;СПАРК-115-Ф
0000389406002284;180005, г.Псков, ш.Ленинградское, д.26, лит.Б;009010825;СПАРК-115-Ф
0000390518013935;196634, Санкт-Петербург г, п.Шушары, тер.Московская Славянка, д.17, лит.А;009110091;СПАРК-115-Ф
0000390375043238;196634, Санкт-Петербург г, п.Шушары, тер.Московская Славянка, д.17, лит.А;009110090;СПАРК-115-Ф
0000390355008853;196634, Санкт-Петербург г, п.Шушары, тер.Московская Славянка, д.17, лит.А;009110089;СПАРК-115-Ф
0000390333022178;196634, Санкт-Петербург г, п.Шушары, тер.Московская Славянка, д.17, лит.А;009110088;СПАРК-115-Ф
0000419978046396;196105, Санкт-Петербург г, пр-кт.Космонавтов, д.14, лит.А;009110095;СПАРК-115-Ф
0000420016052838;196105, Санкт-Петербург г, пр-кт.Космонавтов, д.14, лит.А;009110097;СПАРК-115-Ф
0000419992031155;196105, Санкт-Петербург г, пр-кт.Космонавтов, д.14, лит.А;009110096;СПАРК-115-Ф
0000420025028482;196105, Санкт-Петербург г, пр-кт.Космонавтов, д.14, лит.А;009110300;СПАРК-115-Ф
0000420044035330;196105, Санкт-Петербург г, пр-кт.Космонавтов, д.14, лит.А;009110301;СПАРК-115-Ф
0000425094023419;194356, Санкт-Петербург г, пр-кт.Просвещения, д.19, лит.А;009110302;СПАРК-115-Ф
0000425147051061;194356, Санкт-Петербург г, пр-кт.Просвещения, д.19, лит.А;009110303;СПАРК-115-Ф
0000425160003726;194356, Санкт-Петербург г, пр-кт.Просвещения, д.19, лит.А;009110304;СПАРК-115-Ф
0000425174038328;194356, Санкт-Петербург г, пр-кт.Просвещения, д.19, лит.А;009110305;СПАРК-115-Ф
0000425193060861;194356, Санкт-Петербург г, пр-кт.Просвещения, д.19, лит.А;009110306;СПАРК-115-Ф
